outfit_id,gender,style,temp_level,top,outer,bottom,shoes,,accessories,,,top,,,bottom,,shoes,,,outer,,accessories
1,女裝,休閒,warm,寬鬆T恤,薄針織外套,高腰牛仔短褲,帆布鞋,,棒球帽,,休閒,寬鬆T恤,,,高腰牛仔短褲,,帆布鞋,,,薄針織外套,warm,棒球帽
2,女裝,休閒,warm,棉質上衣,牛仔外套,九分牛仔褲,白色球鞋,,小肩背包,,,棉質上衣,,,直筒牛仔褲,,白色球鞋,,,牛仔外套,warm,貝雷帽
3,女裝,休閒,warm,條紋長袖上衣,輕薄風衣,寬褲,樂福鞋,,帆布托特包,,,條紋長袖上衣,,,寬褲,,樂福鞋,,,輕薄風衣,warm,小肩背包
4,女裝,休閒,warm,針織毛衣,開襟外套,針織長裙,踝靴,,圍巾,,,針織毛衣,,,針織長裙,,靴,,,開襟外套,warm,帆布托特包
5,女裝,休閒,warm,連帽上衣,薄西裝外套,內搭褲,麂皮靴,,毛帽,,,連帽上衣,,,內搭褲,,麂皮靴,,,薄西裝外套,warm,圍巾
6,女裝,休閒,hot,寬鬆T恤,無外套,高腰牛仔短褲,帆布鞋,,棒球帽,,正式,雪紡襯衫,,,直筒牛仔褲,,低跟皮鞋,,,無外套,hot,毛帽
7,女裝,休閒,hot,棉質上衣,薄罩衫,九分牛仔褲,白色球鞋,,小肩背包,,,西裝背心,,,寬褲,,尖頭跟鞋,,,薄罩衫,hot,
8,女裝,休閒,hot,條紋長袖上衣,薄牛仔外套,寬褲,樂福鞋,,帆布托特包,,,細肩帶上衣搭罩衫,,,針織長裙,,樂福鞋,,,薄牛仔外套,hot,報童帽
9,女裝,休閒,hot,針織毛衣,亞麻襯衫外套,針織長裙,踝靴,,圍巾,,,合身襯衫,,,內搭褲,,,,,亞麻襯衫外套,hot,棒球帽
10,女裝,休閒,hot,連帽上衣,運動外套,內搭褲,麂皮靴,,毛帽,,,高領針織衫,,,,,,,,運動外套,hot,小肩背包
11,女裝,休閒,cool,寬鬆T恤,風衣外套,高腰牛仔短褲,帆布鞋,,棒球帽,,運動,運動背心,,,寬褲,,跑步鞋,,,風衣外套,cool,帆布托特包
12,女裝,休閒,cool,棉質上衣,牛仔外套,九分牛仔褲,白色球鞋,,小肩背包,,,排汗T恤,,,內搭褲,,訓練鞋,,,薄鋪棉外套,cool,圍巾
13,女裝,休閒,cool,條紋長袖上衣,薄鋪棉外套,寬褲,樂福鞋,,帆布托特包,,,長袖運動上衣,,,棉質短褲,,籃球鞋,,,針織開襟衫,cool,毛帽
14,女裝,休閒,cool,針織毛衣,針織開襟衫,針織長裙,踝靴,,圍巾,,,連帽運動外套,,,,,,,,西裝外套,cool,
15,女裝,休閒,cool,連帽上衣,西裝外套,內搭褲,麂皮靴,,毛帽,,,壓縮上衣,,,,,,,,厚羽絨外套,cool,
16,女裝,休閒,cold,寬鬆T恤,厚羽絨外套,高腰牛仔短褲,帆布鞋,,棒球帽,,,,,,,,,,,長版大衣,cold,
17,女裝,休閒,cold,棉質上衣,長版大衣,九分牛仔褲,白色球鞋,,小肩背包,,休閒,素色T恤,,,棉質短褲,,帆布鞋,,,鋪棉外套,cold,
18,女裝,休閒,cold,條紋長袖上衣,鋪棉外套,寬褲,樂福鞋,,帆布托特包,,,口袋T恤,,,棉質長褲,,白色球鞋,,,呢大衣,cold,
19,女裝,休閒,cold,針織毛衣,呢大衣,針織長裙,踝靴,,圍巾,,,格紋襯衫,,,破褲,,樂福鞋,,,,,
20,女裝,休閒,cold,連帽上衣,連帽羽絨外套,內搭褲,麂皮靴,,毛帽,,,針織毛衣,,,寬褲,,皮革短靴,,,,,
21,女裝,正式,warm,雪紡襯衫,薄針織外套,高腰牛仔短褲,低跟皮鞋,,棒球帽,,,連帽上衣,,,運動長褲,,麂皮靴,,,薄針織外套,warm,
22,女裝,正式,warm,西裝背心,牛仔外套,九分牛仔褲,尖頭跟鞋,,小肩背包,,正式,白襯衫,,,,,牛津鞋,,,牛仔外套,warm,
23,女裝,正式,warm,細肩帶上衣搭罩衫,輕薄風衣,寬褲,樂福鞋,,帆布托特包,,,條紋襯衫,,,直筒牛仔褲,,德比鞋,,,輕薄風衣,warm,
24,女裝,正式,warm,合身襯衫,開襟外套,針織長裙,踝靴,,圍巾,,,薄款高領上衣,,,卡其長褲,,皮革短靴,,,開襟外套,warm,
25,女裝,正式,warm,高領針織衫,薄西裝外套,內搭褲,麂皮靴,,毛帽,,,正式襯衫,,,西裝褲,,樂福鞋,,,薄西裝外套,warm,
26,女裝,正式,hot,雪紡襯衫,無外套,高腰牛仔短褲,低跟皮鞋,,棒球帽,,,羊毛高領衫,,,,,,,,無外套,hot,
27,女裝,正式,hot,西裝背心,薄罩衫,九分牛仔褲,尖頭跟鞋,,小肩背包,,運動,運動背心,,,,,跑步鞋,,,薄罩衫,hot,
28,女裝,正式,hot,細肩帶上衣搭罩衫,薄牛仔外套,寬褲,樂福鞋,,帆布托特包,,,排汗T恤,,,棉質短褲,,訓練鞋,,,薄牛仔外套,hot,
29,女裝,正式,hot,合身襯衫,亞麻襯衫外套,針織長裙,踝靴,,圍巾,,,長袖運動上衣,,,運動長褲,,籃球鞋,,,亞麻襯衫外套,hot,
30,女裝,正式,hot,高領針織衫,運動外套,內搭褲,麂皮靴,,毛帽,,,連帽運動外套,,,棉質長褲,,,,,運動外套,hot,
31,女裝,正式,cool,雪紡襯衫,風衣外套,高腰牛仔短褲,低跟皮鞋,,棒球帽,,,壓縮上衣,,,,,,,,風衣外套,cool,
32,女裝,正式,cool,西裝背心,牛仔外套,九分牛仔褲,尖頭跟鞋,,小肩背包,,,,,,,,,,,薄鋪棉外套,cool,
33,女裝,正式,cool,細肩帶上衣搭罩衫,薄鋪棉外套,寬褲,樂福鞋,,帆布托特包,,,,,,,,,,,針織開襟衫,cool,
34,女裝,正式,cool,合身襯衫,針織開襟衫,針織長裙,踝靴,,圍巾,,,,,,,,,,,西裝外套,cool,
35,女裝,正式,cool,高領針織衫,西裝外套,內搭褲,麂皮靴,,毛帽,,,,,,,,,,,厚羽絨外套,cool,
36,女裝,正式,cold,雪紡襯衫,厚羽絨外套,高腰牛仔短褲,低跟皮鞋,,棒球帽,,,,,,,,,,,長版大衣,cold,
37,女裝,正式,cold,西裝背心,長版大衣,九分牛仔褲,尖頭跟鞋,,小肩背包,,,,,,,,,,,鋪棉外套,cold,
38,女裝,正式,cold,細肩帶上衣搭罩衫,鋪棉外套,寬褲,樂福鞋,,帆布托特包,,,,,,,,,,,呢大衣,cold,
39,女裝,正式,cold,合身襯衫,呢大衣,針織長裙,踝靴,,圍巾,,,,,,,,,,,連帽羽絨外套,cold,
40,女裝,正式,cold,高領針織衫,連帽羽絨外套,內搭褲,麂皮靴,,毛帽,,,,,,,,,,,,,
41,女裝,運動,warm,運動背心,薄針織外套,高腰牛仔短褲,跑步鞋,,棒球帽,,,,,,,,,,,,,
42,女裝,運動,warm,排汗T恤,牛仔外套,九分牛仔褲,訓練鞋,,小肩背包,,,,,,,,,,,,,
43,女裝,運動,warm,長袖運動上衣,輕薄風衣,寬褲,籃球鞋,,帆布托特包,,,,,,,,,,,,,
44,女裝,運動,warm,連帽運動外套,開襟外套,針織長裙,慢跑鞋,,圍巾,,,,,,,,,,,,,
45,女裝,運動,warm,壓縮上衣,薄西裝外套,內搭褲,戶外運動鞋,,毛帽,,,,,,,,,,,,,
46,女裝,運動,hot,運動背心,無外套,高腰牛仔短褲,跑步鞋,,棒球帽,,,,,,,,,,,,,
47,女裝,運動,hot,排汗T恤,薄罩衫,九分牛仔褲,訓練鞋,,小肩背包,,,,,,,,,,,,,
48,女裝,運動,hot,長袖運動上衣,薄牛仔外套,寬褲,籃球鞋,,帆布托特包,,,,,,,,,,,,,
49,女裝,運動,hot,連帽運動外套,亞麻襯衫外套,針織長裙,慢跑鞋,,圍巾,,,,,,,,,,,,,
50,女裝,運動,hot,壓縮上衣,運動外套,內搭褲,戶外運動鞋,,毛帽,,,,,,,,,,,,,
51,女裝,運動,cool,運動背心,風衣外套,高腰牛仔短褲,跑步鞋,,棒球帽,,,,,,,,,,,,,
52,女裝,運動,cool,排汗T恤,牛仔外套,九分牛仔褲,訓練鞋,,小肩背包,,,,,,,,,,,,,
53,女裝,運動,cool,長袖運動上衣,薄鋪棉外套,寬褲,籃球鞋,,帆布托特包,,,,,,,,,,,,,
54,女裝,運動,cool,連帽運動外套,針織開襟衫,針織長裙,慢跑鞋,,圍巾,,,,,,,,,,,,,
55,女裝,運動,cool,壓縮上衣,西裝外套,內搭褲,戶外運動鞋,,毛帽,,,,,,,,,,,,,
56,女裝,運動,cold,運動背心,厚羽絨外套,高腰牛仔短褲,跑步鞋,,棒球帽,,,,,,,,,,,,,
57,女裝,運動,cold,排汗T恤,長版大衣,九分牛仔褲,訓練鞋,,小肩背包,,,,,,,,,,,,,
58,女裝,運動,cold,長袖運動上衣,鋪棉外套,寬褲,籃球鞋,,帆布托特包,,,,,,,,,,,,,
59,女裝,運動,cold,連帽運動外套,呢大衣,針織長裙,慢跑鞋,,圍巾,,,,,,,,,,,,,
60,女裝,運動,cold,壓縮上衣,連帽羽絨外套,內搭褲,戶外運動鞋,,毛帽,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
61,男裝,休閒,warm,素色T恤,薄針織外套,棉質短褲,帆布鞋,,棒球帽,,,,,,,,,,,,,
62,男裝,休閒,warm,口袋T恤,牛仔外套,直筒牛仔褲,白色球鞋,,小肩背包,,,,,,,,,,,,,
63,男裝,休閒,warm,格紋襯衫,輕薄風衣,卡其長褲,樂福鞋,,帆布托特包,,,,,,,,,,,,,
64,男裝,休閒,warm,針織毛衣,開襟外套,厚質長褲,踝靴,,圍巾,,,,,,,,,,,,,
65,男裝,休閒,warm,連帽上衣,薄西裝外套,運動長褲,麂皮靴,,毛帽,,,,,,,,,,,,,
66,男裝,休閒,hot,素色T恤,無外套,棉質短褲,帆布鞋,,棒球帽,,,,,,,,,,,,,
67,男裝,休閒,hot,口袋T恤,薄罩衫,直筒牛仔褲,白色球鞋,,小肩背包,,,,,,,,,,,,,
68,男裝,休閒,hot,格紋襯衫,薄牛仔外套,卡其長褲,樂福鞋,,帆布托特包,,,,,,,,,,,,,
69,男裝,休閒,hot,針織毛衣,亞麻襯衫外套,厚質長褲,踝靴,,圍巾,,,,,,,,,,,,,
70,男裝,休閒,hot,連帽上衣,運動外套,運動長褲,麂皮靴,,毛帽,,,,,,,,,,,,,
71,男裝,休閒,cool,素色T恤,風衣外套,棉質短褲,帆布鞋,,棒球帽,,,,,,,,,,,,,
72,男裝,休閒,cool,口袋T恤,牛仔外套,直筒牛仔褲,白色球鞋,,小肩背包,,,,,,,,,,,,,
73,男裝,休閒,cool,格紋襯衫,薄鋪棉外套,卡其長褲,樂福鞋,,帆布托特包,,,,,,,,,,,,,
74,男裝,休閒,cool,針織毛衣,針織開襟衫,厚質長褲,踝靴,,圍巾,,,,,,,,,,,,,
75,男裝,休閒,cool,連帽上衣,西裝外套,運動長褲,麂皮靴,,毛帽,,,,,,,,,,,,,
76,男裝,休閒,cold,素色T恤,厚羽絨外套,棉質短褲,帆布鞋,,棒球帽,,,,,,,,,,,,,
77,男裝,休閒,cold,口袋T恤,長版大衣,直筒牛仔褲,白色球鞋,,小肩背包,,,,,,,,,,,,,
78,男裝,休閒,cold,格紋襯衫,鋪棉外套,卡其長褲,樂福鞋,,帆布托特包,,,,,,,,,,,,,
79,男裝,休閒,cold,針織毛衣,呢大衣,厚質長褲,踝靴,,圍巾,,,,,,,,,,,,,
80,男裝,休閒,cold,連帽上衣,連帽羽絨外套,運動長褲,麂皮靴,,毛帽,,,,,,,,,,,,,
81,男裝,正式,warm,白襯衫,薄針織外套,棉質短褲,牛津鞋,,棒球帽,,,,,,,,,,,,,
82,男裝,正式,warm,條紋襯衫,牛仔外套,直筒牛仔褲,德比鞋,,小肩背包,,,,,,,,,,,,,
83,男裝,正式,warm,薄款高領上衣,輕薄風衣,卡其長褲,皮革短靴,,帆布托特包,,,,,,,,,,,,,
84,男裝,正式,warm,正式襯衫,開襟外套,厚質長褲,樂福鞋,,圍巾,,,,,,,,,,,,,
85,男裝,正式,warm,羊毛高領衫,薄西裝外套,運動長褲,皮革短靴,,毛帽,,,,,,,,,,,,,
86,男裝,正式,hot,白襯衫,無外套,棉質短褲,牛津鞋,,棒球帽,,,,,,,,,,,,,
87,男裝,正式,hot,條紋襯衫,薄罩衫,直筒牛仔褲,德比鞋,,小肩背包,,,,,,,,,,,,,
88,男裝,正式,hot,薄款高領上衣,薄牛仔外套,卡其長褲,皮革短靴,,帆布托特包,,,,,,,,,,,,,
89,男裝,正式,hot,正式襯衫,亞麻襯衫外套,厚質長褲,樂福鞋,,圍巾,,,,,,,,,,,,,
90,男裝,正式,hot,羊毛高領衫,運動外套,運動長褲,皮革短靴,,毛帽,,,,,,,,,,,,,
91,男裝,正式,cool,白襯衫,風衣外套,棉質短褲,牛津鞋,,棒球帽,,,,,,,,,,,,,
92,男裝,正式,cool,條紋襯衫,牛仔外套,直筒牛仔褲,德比鞋,,小肩背包,,,,,,,,,,,,,
93,男裝,正式,cool,薄款高領上衣,薄鋪棉外套,卡其長褲,皮革短靴,,帆布托特包,,,,,,,,,,,,,
94,男裝,正式,cool,正式襯衫,針織開襟衫,厚質長褲,樂福鞋,,圍巾,,,,,,,,,,,,,
95,男裝,正式,cool,羊毛高領衫,西裝外套,運動長褲,皮革短靴,,毛帽,,,,,,,,,,,,,
96,男裝,正式,cold,白襯衫,厚羽絨外套,棉質短褲,牛津鞋,,棒球帽,,,,,,,,,,,,,
97,男裝,正式,cold,條紋襯衫,長版大衣,直筒牛仔褲,德比鞋,,小肩背包,,,,,,,,,,,,,
98,男裝,正式,cold,薄款高領上衣,鋪棉外套,卡其長褲,皮革短靴,,帆布托特包,,,,,,,,,,,,,
99,男裝,正式,cold,正式襯衫,呢大衣,厚質長褲,樂福鞋,,圍巾,,,,,,,,,,,,,
100,男裝,正式,cold,羊毛高領衫,連帽羽絨外套,運動長褲,皮革短靴,,毛帽,,,,,,,,,,,,,
101,男裝,運動,warm,運動背心,薄針織外套,棉質短褲,跑步鞋,,棒球帽,,,,,,,,,,,,,
102,男裝,運動,warm,排汗T恤,牛仔外套,直筒牛仔褲,訓練鞋,,小肩背包,,,,,,,,,,,,,
103,男裝,運動,warm,長袖運動上衣,輕薄風衣,卡其長褲,籃球鞋,,帆布托特包,,,,,,,,,,,,,
104,男裝,運動,warm,連帽運動外套,開襟外套,厚質長褲,慢跑鞋,,圍巾,,,,,,,,,,,,,
105,男裝,運動,warm,壓縮上衣,薄西裝外套,運動長褲,戶外運動鞋,,毛帽,,,,,,,,,,,,,
106,男裝,運動,hot,運動背心,無外套,棉質短褲,跑步鞋,,棒球帽,,,,,,,,,,,,,
107,男裝,運動,hot,排汗T恤,薄罩衫,直筒牛仔褲,訓練鞋,,小肩背包,,,,,,,,,,,,,
108,男裝,運動,hot,長袖運動上衣,薄牛仔外套,卡其長褲,籃球鞋,,帆布托特包,,,,,,,,,,,,,
109,男裝,運動,hot,連帽運動外套,亞麻襯衫外套,厚質長褲,慢跑鞋,,圍巾,,,,,,,,,,,,,
110,男裝,運動,hot,壓縮上衣,運動外套,運動長褲,戶外運動鞋,,毛帽,,,,,,,,,,,,,
111,男裝,運動,cool,運動背心,風衣外套,棉質短褲,跑步鞋,,棒球帽,,,,,,,,,,,,,
112,男裝,運動,cool,排汗T恤,牛仔外套,直筒牛仔褲,訓練鞋,,小肩背包,,,,,,,,,,,,,
113,男裝,運動,cool,長袖運動上衣,薄鋪棉外套,卡其長褲,籃球鞋,,帆布托特包,,,,,,,,,,,,,
114,男裝,運動,cool,連帽運動外套,針織開襟衫,厚質長褲,慢跑鞋,,圍巾,,,,,,,,,,,,,
115,男裝,運動,cool,壓縮上衣,西裝外套,運動長褲,戶外運動鞋,,毛帽,,,,,,,,,,,,,
116,男裝,運動,cold,運動背心,厚羽絨外套,棉質短褲,跑步鞋,,棒球帽,,,,,,,,,,,,,
117,男裝,運動,cold,排汗T恤,長版大衣,直筒牛仔褲,訓練鞋,,小肩背包,,,,,,,,,,,,,
118,男裝,運動,cold,長袖運動上衣,鋪棉外套,卡其長褲,籃球鞋,,帆布托特包,,,,,,,,,,,,,
119,男裝,運動,cold,連帽運動外套,呢大衣,厚質長褲,慢跑鞋,,圍巾,,,,,,,,,,,,,
120,男裝,運動,cold,壓縮上衣,連帽羽絨外套,運動長褲,戶外運動鞋,,毛帽,,,,,,,,,,,,,
