city,date,temp_low,temp_high,weather,feels_like,season,temp_level
台北市,2024/12/1,13,19,多雲,19,fall,cool
台北市,2024/12/2,14,20,晴,20,fall,cool
台北市,2024/12/3,15,21,短暫陣雨,21,fall,warm
台北市,2024/12/4,13,19,多雲時晴,19,fall,cool
台北市,2024/12/5,14,20,陰,20,fall,cool
新北市,2024/12/1,13,19,多雲,19,fall,cool
新北市,2024/12/2,14,20,晴,20,fall,cool
新北市,2024/12/3,15,21,短暫陣雨,21,fall,warm
新北市,2024/12/4,13,19,多雲時晴,19,fall,cool
新北市,2024/12/5,14,20,陰,20,fall,cool
基隆市,2024/12/1,13,19,多雲,19,fall,cool
基隆市,2024/12/2,14,20,晴,20,fall,cool
基隆市,2024/12/3,15,21,短暫陣雨,21,fall,warm
基隆市,2024/12/4,13,19,多雲時晴,19,fall,cool
基隆市,2024/12/5,14,20,陰,20,fall,cool
桃園市,2024/12/1,14,21,多雲,21,fall,warm
桃園市,2024/12/2,15,22,晴,22,fall,warm
桃園市,2024/12/3,16,23,短暫陣雨,23,fall,warm
桃園市,2024/12/4,14,21,多雲時晴,21,fall,warm
桃園市,2024/12/5,15,22,陰,22,fall,warm
新竹市,2024/12/1,14,21,多雲,21,fall,warm
新竹市,2024/12/2,15,22,晴,22,fall,warm
新竹市,2024/12/3,16,23,短暫陣雨,23,fall,warm
新竹市,2024/12/4,14,21,多雲時晴,21,fall,warm
新竹市,2024/12/5,15,22,陰,22,fall,warm
新竹縣,2024/12/1,14,21,多雲,21,fall,warm
新竹縣,2024/12/2,15,22,晴,22,fall,warm
新竹縣,2024/12/3,16,23,短暫陣雨,23,fall,warm
新竹縣,2024/12/4,14,21,多雲時晴,21,fall,warm
新竹縣,2024/12/5,15,22,陰,22,fall,warm
苗栗縣,2024/12/1,14,21,多雲,21,fall,warm
苗栗縣,2024/12/2,15,22,晴,22,fall,warm
苗栗縣,2024/12/3,16,23,短暫陣雨,23,fall,warm
苗栗縣,2024/12/4,14,21,多雲時晴,21,fall,warm
苗栗縣,2024/12/5,15,22,陰,22,fall,warm
台中市,2024/12/1,15,23,多雲,23,fall,warm
台中市,2024/12/2,16,24,晴,24,fall,warm
台中市,2024/12/3,17,25,短暫陣雨,25,fall,warm
台中市,2024/12/4,15,23,多雲時晴,23,fall,warm
台中市,2024/12/5,16,24,陰,24,fall,warm
彰化縣,2024/12/1,15,23,多雲,23,fall,warm
彰化縣,2024/12/2,16,24,晴,24,fall,warm
彰化縣,2024/12/3,17,25,短暫陣雨,25,fall,warm
彰化縣,2024/12/4,15,23,多雲時晴,23,fall,warm
彰化縣,2024/12/5,16,24,陰,24,fall,warm
南投縣,2024/12/1,15,23,多雲,23,fall,warm
南投縣,2024/12/2,16,24,晴,24,fall,warm
南投縣,2024/12/3,17,25,短暫陣雨,25,fall,warm
南投縣,2024/12/4,15,23,多雲時晴,23,fall,warm
南投縣,2024/12/5,16,24,陰,24,fall,warm
雲林縣,2024/12/1,15,23,多雲,23,fall,warm
雲林縣,2024/12/2,16,24,晴,24,fall,warm
雲林縣,2024/12/3,17,25,短暫陣雨,25,fall,warm
雲林縣,2024/12/4,15,23,多雲時晴,23,fall,warm
雲林縣,2024/12/5,16,24,陰,24,fall,warm
嘉義市,2024/12/1,17,26,多雲,26,fall,hot
嘉義市,2024/12/2,18,27,晴,27,fall,hot
嘉義市,2024/12/3,19,28,短暫陣雨,28,fall,hot
嘉義市,2024/12/4,17,26,多雲時晴,26,fall,hot
嘉義市,2024/12/5,18,27,陰,27,fall,hot
嘉義縣,2024/12/1,17,26,多雲,26,fall,hot
嘉義縣,2024/12/2,18,27,晴,27,fall,hot
嘉義縣,2024/12/3,19,28,短暫陣雨,28,fall,hot
嘉義縣,2024/12/4,17,26,多雲時晴,26,fall,hot
嘉義縣,2024/12/5,18,27,陰,27,fall,hot
台南市,2024/12/1,17,26,多雲,26,fall,hot
台南市,2024/12/2,18,27,晴,27,fall,hot
台南市,2024/12/3,19,28,短暫陣雨,28,fall,hot
台南市,2024/12/4,17,26,多雲時晴,26,fall,hot
台南市,2024/12/5,18,27,陰,27,fall,hot
高雄市,2024/12/1,17,26,多雲,26,fall,hot
高雄市,2024/12/2,18,27,晴,27,fall,hot
高雄市,2024/12/3,19,28,短暫陣雨,28,fall,hot
高雄市,2024/12/4,17,26,多雲時晴,26,fall,hot
高雄市,2024/12/5,18,27,陰,27,fall,hot
屏東縣,2024/12/1,17,26,多雲,26,fall,hot
屏東縣,2024/12/2,18,27,晴,27,fall,hot
屏東縣,2024/12/3,19,28,短暫陣雨,28,fall,hot
屏東縣,2024/12/4,17,26,多雲時晴,26,fall,hot
屏東縣,2024/12/5,18,27,陰,27,fall,hot
宜蘭縣,2024/12/1,13,19,多雲,19,fall,cool
宜蘭縣,2024/12/2,14,20,晴,20,fall,cool
宜蘭縣,2024/12/3,15,21,短暫陣雨,21,fall,warm
宜蘭縣,2024/12/4,13,19,多雲時晴,19,fall,cool
宜蘭縣,2024/12/5,14,20,陰,20,fall,cool
花蓮縣,2024/12/1,14,22,多雲,22,fall,warm
花蓮縣,2024/12/2,15,23,晴,23,fall,warm
花蓮縣,2024/12/3,16,24,短暫陣雨,24,fall,warm
花蓮縣,2024/12/4,14,22,多雲時晴,22,fall,warm
花蓮縣,2024/12/5,15,23,陰,23,fall,warm
台東縣,2024/12/1,14,22,多雲,22,fall,warm
台東縣,2024/12/2,15,23,晴,23,fall,warm
台東縣,2024/12/3,16,24,短暫陣雨,24,fall,warm
台東縣,2024/12/4,14,22,多雲時晴,22,fall,warm
台東縣,2024/12/5,15,23,陰,23,fall,warm
澎湖縣,2024/12/1,16,23,多雲,23,fall,warm
澎湖縣,2024/12/2,17,24,晴,24,fall,warm
澎湖縣,2024/12/3,18,25,短暫陣雨,25,fall,hot
澎湖縣,2024/12/4,16,23,多雲時晴,23,fall,warm
澎湖縣,2024/12/5,17,24,陰,24,fall,warm
金門縣,2024/12/1,16,23,多雲,23,fall,warm
金門縣,2024/12/2,17,24,晴,24,fall,warm
金門縣,2024/12/3,18,25,短暫陣雨,25,fall,hot
金門縣,2024/12/4,16,23,多雲時晴,23,fall,warm
金門縣,2024/12/5,17,24,陰,24,fall,warm
連江縣,2024/12/1,16,23,多雲,23,fall,warm
連江縣,2024/12/2,17,24,晴,24,fall,warm
連江縣,2024/12/3,18,25,短暫陣雨,25,fall,hot
連江縣,2024/12/4,16,23,多雲時晴,23,fall,warm
連江縣,2024/12/5,17,24,陰,24,fall,warm